,Year,Jurisdiction,Average scale score,Standard Error
0,2015,National public,239.85446442,0.275948493145
1,,Alabama,230.977422662,0.938422681124
2,,Alaska,236.328416951,1.06580219565
3,,Arizona,237.611755428,0.997213484629
4,,Arkansas,235.215469727,0.846158957492
5,,California,231.549345006,1.37980632007
6,,Colorado,241.56357562,0.970423597045
7,,Connecticut,240.159468855,0.926387751715
8,,Delaware,238.67801882,0.593932442828
9,,District of Columbia,231.307525116,0.59679324084
10,,DoDEA,247.575135416,0.534639169228
11,,Florida,242.664320929,0.96884499384
12,,Georgia,236.452519256,1.22154563946
13,,Hawaii,237.895806837,0.869520103646
14,,Idaho,238.799624713,0.896539359792
15,,Illinois,237.30781379,1.21762769096
16,,Indiana,247.65218362,1.10823742244
17,,Iowa,243.339911874,0.918419398784
18,,Kansas,241.067208517,0.974836320652
19,,Kentucky,241.727761931,1.11804938516
20,,Louisiana,234.281901827,1.11780666699
21,,Maine,242.2446541,0.844660458139
22,,Maryland,239.499750908,1.02694652127
23,,Massachusetts,250.565777826,1.22406407655
24,,Michigan,235.72889369,1.1599119246
25,,Minnesota,249.575846952,1.20720221172
26,,Mississippi,234.24305314,0.927930060617
27,,Missouri,238.964922501,0.930527098703
28,,Montana,241.287048262,0.68101327487
29,,Nebraska,243.863666875,0.869066792852
30,,Nevada,233.827016207,1.09250337951
31,,New Hampshire,249.150621352,0.80352316779
32,,New Jersey,245.383220077,1.23481252752
33,,New Mexico,231.167235964,0.83482779669
34,,New York,236.796927043,0.906564335476
35,,North Carolina,243.742266789,0.962589365277
36,,North Dakota,244.713830578,0.510764416063
37,,Ohio,243.598591203,1.17978887304
38,,Oklahoma,239.760481447,1.0240303876
39,,Oregon,237.746708938,1.06333463392
40,,Pennsylvania,243.312239941,1.43760675682
41,,Rhode Island,238.001729683,0.73140346285
42,,South Carolina,237.089571459,1.05730253242
43,,South Dakota,239.723094946,0.736875140278
44,,Tennessee,240.667395743,1.14345459506
45,,Texas,244.002472043,1.2761756776
46,,Utah,242.562787059,0.976416084931
47,,Vermont,243.250399158,0.663958537451
48,,Virginia,246.612621706,1.28116404139
49,,Washington,244.981422185,1.3404965853
50,,West Virginia,235.204661462,0.835608175547
51,,Wisconsin,243.310211319,1.12633465149
52,,Wyoming,246.759764467,0.57083157188
53,,,,
54,NOTE: The NAEP Mathematics scale ranges from 0 to 500. Some apparent differences between estimates may not be statistically significant.,,,
55,"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2015 Mathematics Assessment.",,,
