,Year,Jurisdiction,Average scale score,Standard Error
0,2015,National public,221.356119236,0.379912712439
1,,Alabama,217.049089788,1.36041084145
2,,Alaska,212.792600219,1.28128027841
3,,Arizona,215.311336461,1.33290221783
4,,Arkansas,218.077496216,1.09873402798
5,,California,212.67794854,1.72581221278
6,,Colorado,224.023224923,1.55719620451
7,,Connecticut,228.947543364,1.10934903823
8,,Delaware,223.698696847,0.849632648316
9,,District of Columbia,212.30534767,0.897447689035
10,,DoDEA,233.759114381,0.731112732033
11,,Florida,227.188968975,1.0379140553
12,,Georgia,222.013497272,1.20067801089
13,,Hawaii,215.124313046,1.03285907745
14,,Idaho,221.690066166,0.981106539789
15,,Illinois,222.022267695,1.19499994697
16,,Indiana,227.278891331,1.0529037057
17,,Iowa,223.629398841,1.13454769489
18,,Kansas,221.089880424,1.49043153023
19,,Kentucky,228.055168333,1.24068928081
20,,Louisiana,216.199337216,1.4535425293
21,,Maine,223.728607946,0.924078944852
22,,Maryland,222.944189619,1.28936265586
23,,Massachusetts,235.275423419,1.00242211292
24,,Michigan,216.306630195,1.31000897951
25,,Minnesota,223.352919981,1.28981942449
26,,Mississippi,214.110686915,0.993896738901
27,,Missouri,222.725516791,1.14389630051
28,,Montana,224.757393529,0.834769999259
29,,Nebraska,226.634610886,1.06536810498
30,,Nevada,214.425584467,1.16295525606
31,,New Hampshire,231.949847648,0.955961193808
32,,New Jersey,229.487674441,1.4295104189
33,,New Mexico,207.240446376,0.979363258651
34,,New York,222.646303198,1.0951910737
35,,North Carolina,225.8105909,1.14239350322
36,,North Dakota,224.691984351,0.704747911459
37,,Ohio,224.930419714,1.18772100635
38,,Oklahoma,221.830510126,1.11257947563
39,,Oregon,220.222719958,1.42456707809
40,,Pennsylvania,226.670774068,1.77682225643
41,,Rhode Island,225.485536669,0.858434688937
42,,South Carolina,217.969676534,1.37772545112
43,,South Dakota,220.469524584,0.919772128607
44,,Tennessee,218.613264394,1.43337869486
45,,Texas,217.942913018,1.71984252847
46,,Utah,226.143074883,1.09444003364
47,,Vermont,230.098616569,0.771815830947
48,,Virginia,228.97125501,1.74336435775
49,,Washington,225.892889059,1.51789074742
50,,West Virginia,216.253287884,1.1939696263
51,,Wisconsin,223.356355513,1.0886906728
52,,Wyoming,228.160802773,0.684189335239
53,,,,
54,NOTE: The NAEP Reading scale ranges from 0 to 500. Some apparent differences between estimates may not be statistically significant.,,,
55,"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2015 Reading Assessment.",,,
